Marcas , AnoFabricação, Anomodelo, AnoModelo1
nissan,2007,2008,2007,
nissan,2006,2007,2006,
nissan,2005,2006,2005,
peugeot,2020,2021,2020,
peugeot,2019,2020,2019,
peugeot,2018,2019,2018,
peugeot,2017,2018,2017,
peugeot,2016,2017,2016,
peugeot,2015,2016,2015,
peugeot,2014,2015,2014,
peugeot,2013,2014,2013,
peugeot,2012,2013,2012,
peugeot,2011,2012,2011,
peugeot,2010,2011,2010,
peugeot,2009,2010,2009,
peugeot,2008,2009,2008,
peugeot,2007,2008,2007,
peugeot,2006,2007,2006,
peugeot,2005,2006,2005,
renault,2020,2021,2020,
renault,2019,2020,2019,
renault,2018,2019,2018,
renault,2017,2018,2017,
renault,2016,2017,2016,
renault,2015,2016,2015,
renault,2014,2015,2014,
renault,2013,2014,2013,
renault,2012,2013,2012,
renault,2011,2012,2011,
renault,2010,2011,2010,
renault,2009,2010,2009,
renault,2008,2009,2008,
renault,2007,2008,2007,
renault,2006,2007,2006,
renault,2005,2006,2005,
toyota,2020,2021,2020,
toyota,2019,2020,2019,
toyota,2018,2019,2018,
toyota,2017,2018,2017,
toyota,2016,2017,2016,
toyota,2015,2016,2015,
toyota,2014,2015,2014,
toyota,2013,2014,2013,
toyota,2012,2013,2012,
toyota,2011,2012,2011,
toyota,2010,2011,2010,
toyota,2009,2010,2009,
toyota,2008,2009,2008,
toyota,2007,2008,2007,
toyota,2006,2007,2006,
toyota,2005,2006,2005,
volkswagen,2020,2021,2020,
volkswagen,2019,2020,2019,
volkswagen,2018,2019,2018,
volkswagen,2017,2018,2017,
volkswagen,2016,2017,2016,
volkswagen,2015,2016,2015,
volkswagen,2014,2015,2014,
volkswagen,2013,2014,2013,
volkswagen,2012,2013,2012,
volkswagen,2011,2012,2011,
volkswagen,2010,2011,2010,
volkswagen,2009,2010,2009,
volkswagen,2008,2009,2008,
volkswagen,2007,2008,2007,
volkswagen,2006,2007,2006,
volkswagen,2005,2006,2005,
agrale,2020,2021,2020,
agrale,2019,2020,2019,
agrale,2018,2019,2018,
agrale,2017,2018,2017,
agrale,2016,2017,2016,
agrale,2015,2016,2015,
agrale,2014,2015,2014,
agrale,2013,2014,2013,
agrale,2012,2013,2012,
agrale,2011,2012,2011,
agrale,2010,2011,2010,
agrale,2009,2010,2009,
agrale,2008,2009,2008,
agrale,2007,2008,2007,
agrale,2006,2007,2006,
agrale,2005,2006,2005,
alfa-romeo,2005,2006,2005,
aston-martin,2016,2017,2016,
aston-martin,2015,2016,2015,
aston-martin,2014,2015,2014,
aston-martin,2013,2014,2013,
aston-martin,2012,2013,2012,
aston-martin,2011,2012,2011,
aston-martin,2010,2011,2010,
audi,2020,2021,2020,
audi,2019,2020,2019,
audi,2018,2019,2018,
audi,2017,2018,2017,
audi,2016,2017,2016,
audi,2015,2016,2015,
audi,2014,2015,2014,
audi,2013,2014,2013,
audi,2012,2013,2012,
audi,2011,2012,2011,
audi,2010,2011,2010,
audi,2009,2010,2009,
audi,2008,2009,2008,
audi,2007,2008,2007,
audi,2006,2007,2006,
audi,2005,2006,2005,
bmw,2020,2021,2020,
bmw,2019,2020,2019,
bmw,2018,2019,2018,
bmw,2017,2018,2017,
bmw,2016,2017,2016,
bmw,2015,2016,2015,
bmw,2014,2015,2014,
bmw,2013,2014,2013,
bmw,2012,2013,2012,
bmw,2011,2012,2011,
bmw,2010,2011,2010,
bmw,2009,2010,2009,
bmw,2008,2009,2008,
bmw,2007,2008,2007,
bmw,2006,2007,2006,
bmw,2005,2006,2005,
bugre,2020,2021,2020,
bugre,2019,2020,2019,
bugre,2018,2019,2018,
bugre,2017,2018,2017,
bugre,2016,2017,2016,
bugre,2015,2016,2015,
bugre,2014,2015,2014,
bugre,2013,2014,2013,
bugre,2012,2013,2012,
bugre,2011,2012,2011,
bugre,2010,2011,2010,
bugre,2009,2010,2009,
bugre,2008,2009,2008,
bugre,2007,2008,2007,
bugre,2006,2007,2006,
bugre,2005,2006,2005,
chana,2012,2013,2012,
chana,2011,2012,2011,
chana,2010,2011,2010,
chana,2009,2010,2009,
chana,2008,2009,2008,
chana,2007,2008,2007,
chana,2006,2007,2006,
chana,2005,2006,2005,
changan,2012,2013,2012,
changan,2011,2012,2011,
chery,2020,2021,2020,
chery,2019,2020,2019,
chery,2018,2019,2018,
chery,2017,2018,2017,
chery,2016,2017,2016,
chery,2015,2016,2015,
chery,2014,2015,2014,
chery,2013,2014,2013,
chery,2012,2013,2012,
chery,2011,2012,2011,
chery,2010,2011,2010,
chery,2009,2010,2009,
chrysler,2016,2017,2016,
chrysler,2015,2016,2015,
chrysler,2014,2015,2014,
chrysler,2013,2014,2013,
chrysler,2012,2013,2012,
chrysler,2011,2012,2011,
chrysler,2010,2011,2010,
chrysler,2009,2010,2009,
chrysler,2008,2009,2008,
chrysler,2007,2008,2007,
chrysler,2006,2007,2006,
chrysler,2005,2006,2005,
citroen,2020,2021,2020,
citroen,2019,2020,2019,
citroen,2018,2019,2018,
citroen,2017,2018,2017,
citroen,2016,2017,2016,
citroen,2015,2016,2015,
citroen,2014,2015,2014,
citroen,2013,2014,2013,
citroen,2012,2013,2012,
citroen,2011,2012,2011,
citroen,2010,2011,2010,
citroen,2009,2010,2009,
citroen,2008,2009,2008,
citroen,2007,2008,2007,
citroen,2006,2007,2006,
citroen,2005,2006,2005,
cross-lander,2006,2007,2006,
cross-lander,2005,2006,2005,
dodge,2018,2019,2018,
dodge,2017,2018,2017,
dodge,2016,2017,2016,
dodge,2015,2016,2015,
dodge,2014,2015,2014,
dodge,2013,2014,2013,
dodge,2012,2013,2012,
dodge,2011,2012,2011,
dodge,2010,2011,2010,
dodge,2009,2010,2009,
dodge,2008,2009,2008,
dodge,2007,2008,2007,
dodge,2006,2007,2006,
dodge,2005,2006,2005,
effa,2020,2021,2020,
effa,2019,2020,2019,
effa,2018,2019,2018,
effa,2017,2018,2017,
effa,2016,2017,2016,
effa,2015,2016,2015,
effa,2014,2015,2014,
effa,2013,2014,2013,
effa,2012,2013,2012,
effa,2011,2012,2011,
effa,2010,2011,2010,
effa,2009,2010,2009,
effa,2008,2009,2008,
effa,2007,2008,2007,
effa,2006,2007,2006,
ferrari,2020,2021,2020,
ferrari,2019,2020,2019,
ferrari,2018,2019,2018,
ferrari,2017,2018,2017,
ferrari,2016,2017,2016,
ferrari,2015,2016,2015,
ferrari,2014,2015,2014,
ferrari,2013,2014,2013,
ferrari,2012,2013,2012,
ferrari,2011,2012,2011,
ferrari,2010,2011,2010,
ferrari,2009,2010,2009,
ferrari,2008,2009,2008,
ferrari,2007,2008,2007,
ferrari,2006,2007,2006,
ferrari,2005,2006,2005,
fibravan,2020,2021,2020,
fibravan,2019,2020,2019,
fibravan,2018,2019,2018,
fibravan,2017,2018,2017,
fibravan,2016,2017,2016,
fibravan,2015,2016,2015,
fibravan,2014,2015,2014,
fibravan,2013,2014,2013,
fibravan,2012,2013,2012,
fibravan,2011,2012,2011,
fibravan,2010,2011,2010,
fibravan,2009,2010,2009,
fibravan,2008,2009,2008,
fibravan,2007,2008,2007,
fibravan,2006,2007,2006,
fibravan,2005,2006,2005,
foton,2020,2021,2020,
foton,2019,2020,2019,
foton,2018,2019,2018,
foton,2017,2018,2017,
foton,2016,2017,2016,
foton,2015,2016,2015,
foton,2014,2015,2014,
foton,2013,2014,2013,
foton,2012,2013,2012,
foton,2011,2012,2011,
foton,2010,2011,2010,
fyber,2020,2021,2020,
fyber,2019,2020,2019,
fyber,2018,2019,2018,
fyber,2017,2018,2017,
fyber,2016,2017,2016,
fyber,2015,2016,2015,
fyber,2014,2015,2014,
fyber,2013,2014,2013,
fyber,2012,2013,2012,
fyber,2011,2012,2011,
fyber,2010,2011,2010,
fyber,2009,2010,2009,
fyber,2008,2009,2008,
fyber,2007,2008,2007,
fyber,2006,2007,2006,
fyber,2005,2006,2005,
geely,2015,2016,2015,
geely,2014,2015,2014,
great-wall,2008,2009,2008,
great-wall,2007,2008,2007,
hafei,2013,2014,2013,
hafei,2012,2013,2012,
hafei,2011,2012,2011,
hafei,2010,2011,2010,
hafei,2009,2010,2009,
hafei,2008,2009,2008,
hafei,2007,2008,2007,
hitech-electric,2020,2021,2020,
hitech-electric,2019,2020,2019,
hitech-electric,2018,2019,2018,
hitech-electric,2017,2018,2017,
iveco,2020,2021,2020,
iveco,2019,2020,2019,
iveco,2018,2019,2018,
jac,2020,2021,2020,
jac,2019,2020,2019,
jac,2018,2019,2018,
jac,2017,2018,2017,
jac,2016,2017,2016,
jac,2015,2016,2015,
jac,2014,2015,2014,
jac,2013,2014,2013,
jac,2012,2013,2012,
jac,2011,2012,2011,
jac,2010,2011,2010,
jaguar,2020,2021,2020,
jaguar,2019,2020,2019,
jaguar,2018,2019,2018,
jaguar,2017,2018,2017,
jaguar,2016,2017,2016,
jaguar,2015,2016,2015,
jaguar,2014,2015,2014,
jaguar,2013,2014,2013,
jaguar,2012,2013,2012,
jaguar,2011,2012,2011,
jaguar,2010,2011,2010,
jaguar,2009,2010,2009,
jaguar,2008,2009,2008,
jaguar,2007,2008,2007,
jaguar,2006,2007,2006,
jaguar,2005,2006,2005,
jeep,2020,2021,2020,
jeep,2019,2020,2019,
jeep,2018,2019,2018,
jeep,2017,2018,2017,
jeep,2016,2017,2016,
jeep,2015,2016,2015,
jeep,2014,2015,2014,
jeep,2013,2014,2013,
jeep,2012,2013,2012,
jeep,2011,2012,2011,
jeep,2010,2011,2010,
jeep,2009,2010,2009,
jeep,2008,2009,2008,
jeep,2007,2008,2007,
jeep,2006,2007,2006,
jeep,2005,2006,2005,
jinbei,2016,2017,2016,
jinbei,2015,2016,2015,
jinbei,2014,2015,2014,
jinbei,2013,2014,2013,
jinbei,2012,2013,2012,
jinbei,2011,2012,2011,
jinbei,2010,2011,2010,
jinbei,2009,2010,2009,
jinbei,2008,2009,2008,
kia-motors,2020,2021,2020,
kia-motors,2019,2020,2019,
kia-motors,2018,2019,2018,
kia-motors,2017,2018,2017,
kia-motors,2016,2017,2016,
kia-motors,2015,2016,2015,
kia-motors,2014,2015,2014,
kia-motors,2013,2014,2013,
kia-motors,2012,2013,2012,
kia-motors,2011,2012,2011,
kia-motors,2010,2011,2010,
kia-motors,2009,2010,2009,
kia-motors,2008,2009,2008,
kia-motors,2007,2008,2007,
kia-motors,2006,2007,2006,
kia-motors,2005,2006,2005,
lamborghini,2020,2021,2020,
lamborghini,2019,2020,2019,
lamborghini,2018,2019,2018,
lamborghini,2017,2018,2017,
lamborghini,2016,2017,2016,
lamborghini,2015,2016,2015,
lamborghini,2014,2015,2014,
lamborghini,2013,2014,2013,
lamborghini,2012,2013,2012,
lamborghini,2011,2012,2011,
lamborghini,2010,2011,2010,
lamborghini,2009,2010,2009,
land-rover,2020,2021,2020,
land-rover,2019,2020,2019,
land-rover,2018,2019,2018,
land-rover,2017,2018,2017,
land-rover,2016,2017,2016,
land-rover,2015,2016,2015,
land-rover,2014,2015,2014,
land-rover,2013,2014,2013,
land-rover,2012,2013,2012,
land-rover,2011,2012,2011,
land-rover,2010,2011,2010,
land-rover,2009,2010,2009,
land-rover,2008,2009,2008,
land-rover,2007,2008,2007,
land-rover,2006,2007,2006,
land-rover,2005,2006,2005,
lexus,2020,2021,2020,
lexus,2019,2020,2019,
lexus,2018,2019,2018,
lexus,2017,2018,2017,
lexus,2016,2017,2016,
lexus,2015,2016,2015,
lexus,2014,2015,2014,
lexus,2013,2014,2013,
lexus,2012,2013,2012,
lexus,2011,2012,2011,
lexus,2010,2011,2010,
lexus,2009,2010,2009,
lexus,2008,2009,2008,
lexus,2007,2008,2007,
lexus,2006,2007,2006,
lexus,2005,2006,2005,
lifan,2019,2020,2019,
lifan,2018,2019,2018,
lifan,2017,2018,2017,
lifan,2016,2017,2016,
lifan,2015,2016,2015,
lifan,2014,2015,2014,
lifan,2013,2014,2013,
lifan,2012,2013,2012,
lifan,2011,2012,2011,
lifan,2010,2011,2010,
lifan,2009,2010,2009,
lobini,2008,2009,2008,
lobini,2007,2008,2007,
lobini,2006,2007,2006,
lobini,2005,2006,2005,
mahindra,2015,2016,2015,
mahindra,2014,2015,2014,
mahindra,2013,2014,2013,
mahindra,2012,2013,2012,
mahindra,2011,2012,2011,
mahindra,2010,2011,2010,
mahindra,2009,2010,2009,
mahindra,2008,2009,2008,
maserati,2019,2020,2019,
maserati,2018,2019,2018,
maserati,2017,2018,2017,
maserati,2016,2017,2016,
maserati,2015,2016,2015,
maserati,2014,2015,2014,
maserati,2013,2014,2013,
maserati,2012,2013,2012,
maserati,2011,2012,2011,
maserati,2010,2011,2010,
maserati,2009,2010,2009,
maserati,2008,2009,2008,
maserati,2007,2008,2007,
maserati,2006,2007,2006,
maserati,2005,2006,2005,
mclaren,2020,2021,2020,
mclaren,2019,2020,2019,
mclaren,2018,2019,2018,
mclaren,2017,2018,2017,
mercedes-benz,2020,2021,2020,
mercedes-benz,2019,2020,2019,
mercedes-benz,2018,2019,2018,
mercedes-benz,2017,2018,2017,
mercedes-benz,2016,2017,2016,
mercedes-benz,2015,2016,2015,
mercedes-benz,2014,2015,2014,
mercedes-benz,2013,2014,2013,
mercedes-benz,2012,2013,2012,
mercedes-benz,2011,2012,2011,
mercedes-benz,2010,2011,2010,
mercedes-benz,2009,2010,2009,
mercedes-benz,2008,2009,2008,
mercedes-benz,2007,2008,2007,
mercedes-benz,2006,2007,2006,
mercedes-benz,2005,2006,2005,
mg,2012,2013,2012,
mg,2011,2012,2011,
mg,2010,2011,2010,
mini,2020,2021,2020,
mini,2019,2020,2019,
mini,2018,2019,2018,
mini,2017,2018,2017,
mini,2016,2017,2016,
mini,2015,2016,2015,
mini,2014,2015,2014,
mini,2013,2014,2013,
mini,2012,2013,2012,
mini,2011,2012,2011,
mini,2010,2011,2010,
mini,2009,2010,2009,
mini,2008,2009,2008,
mini,2007,2008,2007,
mini,2006,2007,2006,
mini,2005,2006,2005,
mitsubishi,2020,2021,2020,
mitsubishi,2019,2020,2019,
mitsubishi,2018,2019,2018,
mitsubishi,2017,2018,2017,
mitsubishi,2016,2017,2016,
mitsubishi,2015,2016,2015,
mitsubishi,2014,2015,2014,
mitsubishi,2013,2014,2013,
mitsubishi,2012,2013,2012,
mitsubishi,2011,2012,2011,
mitsubishi,2010,2011,2010,
mitsubishi,2009,2010,2009,
mitsubishi,2008,2009,2008,
mitsubishi,2007,2008,2007,
mitsubishi,2006,2007,2006,
mitsubishi,2005,2006,2005,
porsche,2020,2021,2020,
porsche,2019,2020,2019,
porsche,2018,2019,2018,
porsche,2017,2018,2017,
porsche,2016,2017,2016,
porsche,2015,2016,2015,
porsche,2014,2015,2014,
porsche,2013,2014,2013,
porsche,2012,2013,2012,
porsche,2011,2012,2011,
porsche,2010,2011,2010,
porsche,2009,2010,2009,
porsche,2008,2009,2008,
porsche,2007,2008,2007,
porsche,2006,2007,2006,
porsche,2005,2006,2005,
ram,2020,2021,2020,
ram,2019,2020,2019,
ram,2018,2019,2018,
ram,2017,2018,2017,
ram,2016,2017,2016,
ram,2015,2016,2015,
ram,2014,2015,2014,
ram,2013,2014,2013,
ram,2012,2013,2012,
rely,2015,2016,2015,
rely,2014,2015,2014,
rely,2013,2014,2013,
rely,2012,2013,2012,
rolls-royce,2020,2021,2020,
rolls-royce,2019,2020,2019,
rolls-royce,2018,2019,2018,
rolls-royce,2017,2018,2017,
rolls-royce,2016,2017,2016,
rolls-royce,2015,2016,2015,
rolls-royce,2014,2015,2014,
rolls-royce,2013,2014,2013,
rolls-royce,2012,2013,2012,
rolls-royce,2011,2012,2011,
shineray,2015,2016,2015,
shineray,2014,2015,2014,
shineray,2013,2014,2013,
shineray,2012,2013,2012,
smart,2015,2016,2015,
smart,2014,2015,2014,
smart,2013,2014,2013,
smart,2012,2013,2012,
smart,2011,2012,2011,
smart,2010,2011,2010,
smart,2009,2010,2009,
smart,2008,2009,2008,
ssangyong,2018,2019,2018,
ssangyong,2017,2018,2017,
ssangyong,2016,2017,2016,
ssangyong,2015,2016,2015,
ssangyong,2014,2015,2014,
ssangyong,2013,2014,2013,
ssangyong,2012,2013,2012,
ssangyong,2011,2012,2011,
ssangyong,2010,2011,2010,
ssangyong,2009,2010,2009,
ssangyong,2008,2009,2008,
ssangyong,2007,2008,2007,
ssangyong,2006,2007,2006,
ssangyong,2005,2006,2005,
subaru,2020,2021,2020,
subaru,2019,2020,2019,
subaru,2018,2019,2018,
subaru,2017,2018,2017,
subaru,2016,2017,2016,
subaru,2015,2016,2015,
subaru,2014,2015,2014,
subaru,2013,2014,2013,
subaru,2012,2013,2012,
subaru,2011,2012,2011,
subaru,2010,2011,2010,
subaru,2009,2010,2009,
subaru,2008,2009,2008,
subaru,2007,2008,2007,
subaru,2006,2007,2006,
subaru,2005,2006,2005,
suzuki,2020,2021,2020,
suzuki,2019,2020,2019,
suzuki,2018,2019,2018,
suzuki,2017,2018,2017,
suzuki,2016,2017,2016,
suzuki,2015,2016,2015,
suzuki,2014,2015,2014,
suzuki,2013,2014,2013,
suzuki,2012,2013,2012,
suzuki,2011,2012,2011,
suzuki,2010,2011,2010,
suzuki,2009,2010,2009,
suzuki,2008,2009,2008,
suzuki,2007,2008,2007,
suzuki,2006,2007,2006,
suzuki,2005,2006,2005,
tac,2020,2021,2020,
tac,2019,2020,2019,
tac,2018,2019,2018,
tac,2017,2018,2017,
tac,2016,2017,2016,
tac,2015,2016,2015,
tac,2014,2015,2014,
tac,2013,2014,2013,
tac,2012,2013,2012,
tac,2011,2012,2011,
tac,2010,2011,2010,
troller,2020,2021,2020,
troller,2019,2020,2019,
troller,2018,2019,2018,
troller,2017,2018,2017,
troller,2016,2017,2016,
troller,2015,2016,2015,
troller,2014,2015,2014,
troller,2013,2014,2013,
troller,2012,2013,2012,
troller,2011,2012,2011,
troller,2010,2011,2010,
troller,2009,2010,2009,
troller,2008,2009,2008,
troller,2007,2008,2007,
troller,2006,2007,2006,
troller,2005,2006,2005,
volvo,2020,2021,2020,
volvo,2019,2020,2019,
volvo,2018,2019,2018,
volvo,2017,2018,2017,
volvo,2016,2017,2016,
volvo,2015,2016,2015,
volvo,2014,2015,2014,
volvo,2013,2014,2013,
volvo,2012,2013,2012,
volvo,2011,2012,2011,
volvo,2010,2011,2010,
volvo,2009,2010,2009,
volvo,2008,2009,2008,
volvo,2007,2008,2007,
volvo,2006,2007,2006,
volvo,2005,2006,2005,
wake,2020,2021,2020,
wake,2019,2020,2019,
wake,2018,2019,2018,
wake,2017,2018,2017,
wake,2016,2017,2016,
wake,2015,2016,2015,
wake,2014,2015,2014,
wake,2013,2014,2013,
wake,2012,2013,2012,
wake,2011,2012,2011,
wake,2010,2011,2010,
wake,2009,2010,2009,
walk,2019,2020,2019,
walk,2018,2019,2018,
walk,2017,2018,2017,
walk,2016,2017,2016,
walk,2015,2016,2015,
walk,2014,2015,2014,
walk,2013,2014,2013,
walk,2012,2013,2012,
walk,2011,2012,2011,
walk,2010,2011,2010,
walk,2009,2010,2009,
walk,2008,2009,2008,
walk,2007,2008,2007,
walk,2006,2007,2006,
walk,2005,2006,2005,
